frame,visible_points,correct_points,accuracy_percent,band_lo,band_hi,band_med,band_mad
0,1,1,100.0,2.380999984741211,2.500999984741211,2.440999984741211,0.0
1,1,1,100.0,2.3812999629974363,2.5012999629974364,2.4412999629974363,0.0
2,1,1,100.0,2.380909991264343,2.500909991264343,2.440909991264343,0.0
3,1,1,100.0,2.3809369893074033,2.5009369893074034,2.4409369893074033,0.0
4,1,1,100.0,2.38065590968132,2.50065590968132,2.44065590968132,0.0
5,1,1,100.0,2.379559147648811,2.499559147648811,2.439559147648811,0.0
6,1,1,100.0,2.378791414226055,2.498791414226055,2.438791414226055,0.0
7,1,1,100.0,2.3785539790863512,2.4985539790863514,2.4385539790863513,0.0
8,1,1,100.0,2.3777878179761074,2.4977878179761075,2.4377878179761074,0.0
9,1,1,100.0,2.377551483455162,2.497551483455162,2.437551483455162,0.0
10,1,1,100.0,2.3755860367019994,2.4955860367019995,2.4355860367019995,0.0
11,1,1,100.0,2.3760102365632867,2.496010236563287,2.4360102365632867,0.0
12,1,1,100.0,2.375707148428163,2.495707148428163,2.435707148428163,0.0
13,1,1,100.0,2.374594980439326,2.494594980439326,2.434594980439326,0.0
14,0,0,0.0,2.374594980439326,2.494594980439326,2.434594980439326,0.0
15,0,0,0.0,2.374594980439326,2.494594980439326,2.434594980439326,0.0
16,0,0,0.0,2.374594980439326,2.494594980439326,2.434594980439326,0.0
17,0,0,0.0,2.374594980439326,2.494594980439326,2.434594980439326,0.0
18,0,0,0.0,2.374594980439326,2.494594980439326,2.434594980439326,0.0
19,0,0,0.0,2.374594980439326,2.494594980439326,2.434594980439326,0.0
20,1,1,100.0,2.3771165097679163,2.4971165097679164,2.4371165097679164,0.0
21,1,1,100.0,2.377981574003679,2.497981574003679,2.437981574003679,0.0
22,1,1,100.0,2.3773871344182367,2.497387134418237,2.4373871344182367,0.0
23,1,1,100.0,2.376971026708427,2.4969710267084273,2.4369710267084272,0.0
24,1,1,100.0,2.37577974501731,2.4957797450173103,2.43577974501731,0.0
25,1,1,100.0,2.3755458043459794,2.4955458043459795,2.4355458043459794,0.0
26,1,1,100.0,2.3753820458760475,2.4953820458760476,2.4353820458760476,0.0
27,1,1,100.0,2.3749674366908695,2.4949674366908696,2.4349674366908696,0.0
28,1,1,100.0,2.374977188517471,2.494977188517471,2.434977188517471,0.0
29,1,1,100.0,2.3755840428341166,2.4955840428341167,2.4355840428341167,0.0
30,1,1,100.0,2.3760088408557687,2.496008840855769,2.4360088408557687,0.0
31,1,1,100.0,2.3760062212146997,2.4960062212147,2.4360062212147,0.0
32,1,1,100.0,2.3760043874659513,2.4960043874659514,2.4360043874659514,0.0
33,1,1,100.0,2.374503069509552,2.4945030695095523,2.434503069509552,0.0
34,1,1,100.0,2.3740521749780976,2.4940521749780977,2.4340521749780977,0.0
35,1,1,100.0,2.3731365207680546,2.4931365207680547,2.4331365207680546,0.0
36,1,1,100.0,2.3718955347829995,2.4918955347829996,2.4318955347829996,0.0
37,1,1,100.0,2.372226900669511,2.492226900669511,2.432226900669511,0.0
38,1,1,100.0,2.3721588070082693,2.4921588070082694,2.4321588070082694,0.0
39,1,1,100.0,2.372711169483425,2.492711169483425,2.432711169483425,0.0
40,1,1,100.0,2.3724977951780093,2.4924977951780094,2.4324977951780093,0.0
41,1,1,100.0,2.3720484549079925,2.4920484549079926,2.4320484549079926,0.0
42,1,1,100.0,2.372633923013231,2.4926339230132313,2.4326339230132312,0.0
43,1,1,100.0,2.3718437661364224,2.4918437661364226,2.4318437661364225,0.0
44,1,1,100.0,2.3715906345788818,2.491590634578882,2.431590634578882,0.0
45,1,1,100.0,2.3711134642323777,2.491113464232378,2.4311134642323777,0.0
46,1,1,100.0,2.3704793952080254,2.4904793952080255,2.4304793952080255,0.0
47,1,1,100.0,2.3712356029670287,2.491235602967029,2.431235602967029,0.0
48,1,1,100.0,2.371764948398331,2.4917649483983313,2.4317649483983312,0.0
49,1,1,100.0,2.3718354404184434,2.4918354404184435,2.4318354404184435,0.0
50,1,1,100.0,2.371284828320071,2.491284828320071,2.431284828320071,0.0
51,1,1,100.0,2.3720993844016864,2.4920993844016865,2.4320993844016865,0.0
52,1,1,100.0,2.3705695828140905,2.4905695828140906,2.4305695828140905,0.0
53,1,1,100.0,2.3706987062532496,2.4906987062532497,2.4306987062532497,0.0
54,1,1,100.0,2.3707890926606607,2.490789092660661,2.430789092660661,0.0
55,1,1,100.0,2.369952356851598,2.489952356851598,2.429952356851598,0.0
56,1,1,100.0,2.37086667611753,2.49086667611753,2.43086667611753,0.0
57,1,1,100.0,2.372106656116133,2.492106656116133,2.432106656116133,0.0
58,1,1,100.0,2.3717746575646794,2.4917746575646795,2.4317746575646795,0.0
59,1,1,100.0,2.3718422368348873,2.4918422368348874,2.4318422368348873,0.0
60,1,1,100.0,2.3718895423240327,2.491889542324033,2.4318895423240328,0.0
61,1,1,100.0,2.3719226561664346,2.4919226561664347,2.4319226561664347,0.0
62,1,1,100.0,2.3728458421503666,2.4928458421503668,2.4328458421503667,0.0
63,1,1,100.0,2.373492072339119,2.493492072339119,2.433492072339119,0.0
64,1,1,100.0,2.3742444832530447,2.494244483253045,2.4342444832530448,0.0
65,1,1,100.0,2.375371127405244,2.495371127405244,2.435371127405244,0.0
66,1,1,100.0,2.3767598063498085,2.4967598063498087,2.4367598063498086,0.0
67,1,1,100.0,2.3780318598672294,2.4980318598672295,2.4380318598672295,0.0
68,1,1,100.0,2.3801222818799,2.5001222818799,2.4401222818799,0.0
69,0,0,0.0,2.3801222818799,2.5001222818799,2.4401222818799,0.0
70,0,0,0.0,2.3801222818799,2.5001222818799,2.4401222818799,0.0
71,0,0,0.0,2.3801222818799,2.5001222818799,2.4401222818799,0.0
